date,value
27-Nov-08,1
28-Nov-08,3
29-Nov-08,12
30-Nov-08,13
01-Dec-08,3
02-Dec-08,4
03-Dec-08,5
04-Dec-08,3
05-Dec-08,7
06-Dec-08,28
07-Dec-08,17
08-Dec-08,4
09-Dec-08,5
10-Dec-08,8
11-Dec-08,12
12-Dec-08,5
13-Dec-08,15
14-Dec-08,7
15-Dec-08,3
16-Dec-08,6
17-Dec-08,1
18-Dec-08,13
19-Dec-08,13
20-Dec-08,18
21-Dec-08,14
22-Dec-08,8
23-Dec-08,12
24-Dec-08,12
25-Dec-08,12
26-Dec-08,16
27-Dec-08,21
28-Dec-08,18
29-Dec-08,8
30-Dec-08,13
31-Dec-08,12
01-Jan-09,5
02-Jan-09,12
03-Jan-09,13
04-Jan-09,24
05-Jan-09,5
06-Jan-09,9
07-Jan-09,5
08-Jan-09,11
09-Jan-09,8
10-Jan-09,16
11-Jan-09,14
12-Jan-09,10
13-Jan-09,6
14-Jan-09,17
15-Jan-09,12
16-Jan-09,18
17-Jan-09,15
18-Jan-09,11
19-Jan-09,12
20-Jan-09,12
21-Jan-09,9
22-Jan-09,7
23-Jan-09,9
24-Jan-09,13
25-Jan-09,18
26-Jan-09,7
27-Jan-09,2
28-Jan-09,2
29-Jan-09,9
30-Jan-09,6
31-Jan-09,16
01-Feb-09,6
02-Feb-09,4
03-Feb-09,1
04-Feb-09,2
05-Feb-09,1
06-Feb-09,1
07-Feb-09,8
08-Feb-09,7
09-Feb-09,3
10-Feb-09,1
11-Feb-09,4
12-Feb-09,5
13-Feb-09,5
14-Feb-09,11
15-Feb-09,6
16-Feb-09,1
18-Feb-09,10
19-Feb-09,10
20-Feb-09,5
21-Feb-09,19
22-Feb-09,8
23-Feb-09,4
24-Feb-09,6
25-Feb-09,2
26-Feb-09,4
27-Feb-09,10
28-Feb-09,15
01-Mar-09,17
02-Mar-09,11
03-Mar-09,6
04-Mar-09,12
05-Mar-09,14
06-Mar-09,11
07-Mar-09,16
08-Mar-09,18
09-Mar-09,3
10-Mar-09,7
11-Mar-09,5
12-Mar-09,11
13-Mar-09,5
14-Mar-09,17
15-Mar-09,6
16-Mar-09,9
17-Mar-09,5
18-Mar-09,10
19-Mar-09,6
20-Mar-09,9
21-Mar-09,17
22-Mar-09,8
23-Mar-09,6
24-Mar-09,7
25-Mar-09,9
26-Mar-09,9
27-Mar-09,9
28-Mar-09,18
29-Mar-09,21
30-Mar-09,11
31-Mar-09,11
01-Apr-09,6
02-Apr-09,9
03-Apr-09,9
04-Apr-09,16
05-Apr-09,11
06-Apr-09,4
07-Apr-09,7
08-Apr-09,8
09-Apr-09,9
10-Apr-09,9
11-Apr-09,18
12-Apr-09,10
13-Apr-09,7
14-Apr-09,7
15-Apr-09,10
16-Apr-09,8
17-Apr-09,8
18-Apr-09,23
19-Apr-09,10
20-Apr-09,10
21-Apr-09,11
22-Apr-09,11
23-Apr-09,9
24-Apr-09,5
25-Apr-09,16
26-Apr-09,19
27-Apr-09,6
28-Apr-09,4
29-Apr-09,5
30-Apr-09,5
01-May-09,1
02-May-09,12
03-May-09,10
04-May-09,2
05-May-09,5
06-May-09,7
07-May-09,8
08-May-09,3
09-May-09,14
10-May-09,10
11-May-09,6
12-May-09,4
13-May-09,3
14-May-09,1
15-May-09,5
16-May-09,11
17-May-09,20
18-May-09,5
19-May-09,7
20-May-09,8
21-May-09,3
22-May-09,10
23-May-09,7
24-May-09,9
25-May-09,9
26-May-09,4
27-May-09,7
28-May-09,6
29-May-09,4
30-May-09,5
31-May-09,8
01-Jun-09,7
02-Jun-09,5
03-Jun-09,3
04-Jun-09,5
05-Jun-09,10
06-Jun-09,15
07-Jun-09,22
08-Jun-09,6
09-Jun-09,6
10-Jun-09,6
11-Jun-09,13
12-Jun-09,14
13-Jun-09,23
14-Jun-09,32
15-Jun-09,8
16-Jun-09,23
17-Jun-09,11
18-Jun-09,12
19-Jun-09,15
20-Jun-09,25
21-Jun-09,30
22-Jun-09,16
23-Jun-09,16
24-Jun-09,12
25-Jun-09,14
26-Jun-09,14
27-Jun-09,21
28-Jun-09,35
29-Jun-09,12
30-Jun-09,21
01-Jul-09,30
02-Jul-09,32
03-Jul-09,29
04-Jul-09,38
05-Jul-09,69
06-Jul-09,28
07-Jul-09,12
08-Jul-09,11
09-Jul-09,9
10-Jul-09,18
11-Jul-09,27
12-Jul-09,20
13-Jul-09,12
14-Jul-09,16
15-Jul-09,6
16-Jul-09,5
17-Jul-09,10
18-Jul-09,20
19-Jul-09,28
20-Jul-09,5
21-Jul-09,4
22-Jul-09,7
23-Jul-09,5
24-Jul-09,13
25-Jul-09,32
26-Jul-09,15
27-Jul-09,4
28-Jul-09,8
29-Jul-09,12
30-Jul-09,10
31-Jul-09,9
01-Aug-09,17
02-Aug-09,11
03-Aug-09,9
04-Aug-09,7
05-Aug-09,9
06-Aug-09,2
07-Aug-09,15
08-Aug-09,11
09-Aug-09,14
10-Aug-09,5
11-Aug-09,5
12-Aug-09,4
13-Aug-09,6
14-Aug-09,6
15-Aug-09,18
16-Aug-09,12
17-Aug-09,5
18-Aug-09,9
19-Aug-09,17
20-Aug-09,6
21-Aug-09,10
22-Aug-09,22
23-Aug-09,6
24-Aug-09,8
25-Aug-09,3
26-Aug-09,8
27-Aug-09,7
28-Aug-09,16
29-Aug-09,22
30-Aug-09,12
31-Aug-09,2
01-Sep-09,4
02-Sep-09,17
03-Sep-09,1
04-Sep-09,6
05-Sep-09,14
06-Sep-09,14
07-Sep-09,16
08-Sep-09,5
09-Sep-09,5
10-Sep-09,8
11-Sep-09,9
12-Sep-09,7
13-Sep-09,12
14-Sep-09,1
15-Sep-09,10
16-Sep-09,8
17-Sep-09,5
18-Sep-09,7
19-Sep-09,16
20-Sep-09,6
21-Sep-09,4
22-Sep-09,6
23-Sep-09,8
24-Sep-09,6
25-Sep-09,14
26-Sep-09,12
27-Sep-09,20
28-Sep-09,7
29-Sep-09,7
30-Sep-09,5
01-Oct-09,13
02-Oct-09,8
03-Oct-09,8
04-Oct-09,6
05-Oct-09,2
06-Oct-09,5
07-Oct-09,7
08-Oct-09,4
09-Oct-09,8
10-Oct-09,9
11-Oct-09,9
12-Oct-09,6
13-Oct-09,4
14-Oct-09,6
15-Oct-09,6
16-Oct-09,8
