"Country Name","2013"
"Eritrea","0.9"
"Timor-Leste","1.1"
"Myanmar","1.2"
"Burundi","1.3"
"Somalia","1.5"
"Guinea","1.6"
"Niger","1.7"
"Sierra Leone","1.7"
"Ethiopia","1.9"
"Haiti","10.6"
"Pakistan","10.9"
"Vanuatu","11.3"
"Kiribati","11.5"
"Marshall Islands","11.7"
"Ghana","12.3"
"Lao PDR","12.5"
"Nepal","13.3"
